map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,1260,1279,1269.5261811023622,4.4359186170942015e-09,4.498922396344947e-09,4.451296334593262e-09,1.0142030962894484,1.0034666365248004,0.9894138956941382
summed,,,1280,1299,1289.5257751937984,4.3180633060636356e-09,4.369491332525799e-09,4.3297088637697344e-09,1.0119099751015568,1.0026969400123766,0.9908954004645963
summed,,,1300,1319,1309.5253816793893,4.2052206741259e-09,4.238720028850853e-09,4.188193519021775e-09,1.0079661347931321,0.9959509484938827,0.9880797718449982
summed,,,1320,1339,1329.525,4.097021702769376e-09,4.112364874147732e-09,4.0955355329761705e-09,1.0037449573108153,0.9996372560603716,0.9959076245210248
summed,,,1340,1359,1349.5246296296295,3.993202510743568e-09,4.088331619001804e-09,4.059150700240537e-09,1.0238227608047161,1.0165151126995282,0.9928623894828785
summed,,,1360,1379,1369.5242700729927,3.893522197519283e-09,3.95845780799807e-09,3.9148451982407375e-09,1.0166778580381948,1.0054765324659098,0.9889824239962308
summed,,,1380,1399,1389.5239208633093,3.7978249763422515e-09,3.907686759956603e-09,3.8714305787894764e-09,1.028927553085967,1.0193809885673342,0.9907218302299314
summed,,,1400,1419,1409.5235815602837,3.7059722288966134e-09,3.833667368935822e-09,3.789683436070709e-09,1.0344565830913492,1.0225881906295393,0.9885269303170341
summed,,,1420,1439,1429.5232517482518,3.6177589412003697e-09,3.694244155731355e-09,3.645333486846051e-09,1.021141600580388,1.0076219964054687,0.9867603041857905
summed,,,1440,1459,1449.5229310344828,3.5329889824161026e-09,3.6041730580151912e-09,3.5616756153874816e-09,1.0201484001091925,1.0081196497113787,0.9882088229550462
summed,,,1460,1479,1469.522619047619,3.4514845635258476e-09,3.4959977021702515e-09,3.457665190600116e-09,1.012896809423633,1.0017907155487766,0.9890353155706196
summed,,,1480,1499,1489.5223154362416,3.3731133447215686e-09,3.458491830244217e-09,3.4188558278153004e-09,1.0253114783872452,1.0135609089938564,0.9885395124885642
summed,,,1500,1519,1509.5220198675497,3.2977299746687604e-09,3.2993307002344687e-09,3.246022687297764e-09,1.0004854022548857,0.9843203392126761,0.9838427797089524
summed,,,1520,1539,1529.5217320261438,3.2251800172057433e-09,3.2897823206686702e-09,3.2395579424574703e-09,1.0200306039099478,1.0044580225522368,0.984733221436672
summed,,,1540,1559,1549.5214516129033,3.1553186928158435e-09,3.2171290048405577e-09,3.162752966323338e-09,1.0195892453480044,1.0023561085998764,0.983097961432257
summed,,,1560,1579,1569.521178343949,3.0880088311292024e-09,3.1422727772316624e-09,3.0901147116197866e-09,1.017572471152104,1.00068195416715,0.9834011655544981
summed,,,1580,1599,1589.5209119496856,3.023113222632167e-09,3.0430113992199714e-09,3.0001893597966552e-09,1.0065820150032223,0.99241713387911,0.9859277426846665
summed,,,1600,1619,1609.520652173913,2.9605090256366547e-09,3.0304377287617348e-09,2.9885908295729176e-09,1.0236204998936094,1.009485464726872,0.9861911370784325
summed,,,1620,1639,1629.520398773006,2.9000855332046534e-09,2.9999604521801733e-09,2.9528387333199744e-09,1.03443861149335,1.0181902221542507,0.9842925533148432
summed,,,1640,1659,1649.5201515151516,2.841738813340724e-09,2.8642223370999833e-09,2.8195666518954353e-09,1.0079118895986179,0.9921976779353542,0.9844091414880307
summed,,,1660,1679,1669.5199101796406,2.7853723867716294e-09,2.805420357048174e-09,2.750783366705279e-09,1.0071975906603214,0.9875819045846,0.9805244906683491
summed,,,1680,1699,1689.519674556213,2.730919881321275e-09,2.7956484452025194e-09,2.730540437535417e-09,1.0237021101658712,0.9998610564196873,0.9767109459779068
summed,,,1700,1719,1709.5194444444444,2.6783185073977445e-09,2.720079673644105e-09,2.6703262397879357e-09,1.0155923076852182,0.9970159383255824,0.9817088321572897
summed,,,1720,1739,1729.519219653179,2.627483988824331e-09,2.6964027745779244e-09,2.6314997591285723e-09,1.0262299546055202,1.0015283709896319,0.975929777234593
summed,,,1740,1759,1749.519,2.578335479615251e-09,2.5673450339457804e-09,2.516498784790919e-09,0.9957373872576463,0.9760168157661315,0.9801950074950716
summed,,,1760,1779,1769.5187853107345,2.530796674850098e-09,2.5589295614454556e-09,2.4994269681471984e-09,1.0111162176222726,0.9876048095784867,0.9767470765140381
summed,,,1780,1799,1789.5185754189945,2.4847954083328667e-09,2.5054526201396007e-09,2.4463364383770066e-09,1.0083134457418341,0.9845222790468438,0.9764049891475097
summed,,,1800,1819,1809.5183701657459,2.440262794500573e-09,2.4920487389573062e-09,2.4397499898153184e-09,1.0212214621201614,0.9997898567783723,0.9790137534934931
summed,,,1820,1839,1829.518169398907,2.397134227998383e-09,2.4352084145561295e-09,2.3809469493143198e-09,1.0158832100902162,0.9932472372656497,0.9777179378498082
summed,,,1840,1859,1849.517972972973,2.3553490378476194e-09,2.3973474358750124e-09,2.3328573692476923e-09,1.0178310718931798,0.9904508129205001,0.9730994074274504
summed,,,1860,1879,1869.5177807486632,2.3148498497775435e-09,2.35053712557463e-09,2.302444632584607e-09,1.015416669811442,0.9946410272812602,0.9795397858358582
summed,,,1880,1899,1889.5175925925926,2.2755823264200255e-09,2.31020104410472e-09,2.254722850365404e-09,1.015213124694617,0.9908333459034032,0.9759855559407318
summed,,,1900,1919,1909.5174083769634,2.2374965301127925e-09,2.3011177490052943e-09,2.231260823910904e-09,1.0284341084047601,0.9972130878783646,0.9696421771008513
summed,,,1920,1939,1929.5172279792746,2.2005558792241447e-09,2.2212303655387358e-09,2.165146952859239e-09,1.0093951198921067,0.9839090991966131,0.9747511948559671
summed,,,1940,1959,1949.5170512820512,2.1647195589468643e-09,2.187233595189305e-09,2.144248271892633e-09,1.0104004401629714,0.9905432151847925,0.9803471730723158
summed,,,1960,1979,1969.5168781725888,2.1299424013077934e-09,2.119804269498566e-09,2.0619427115291074e-09,0.9952401849913863,0.968074399694126,0.9727042921830016
summed,,,1980,1999,1989.5167085427136,2.0961814477341564e-09,2.104204790152924e-09,2.051918887001387e-09,1.0038275991934955,0.9788841940278526,0.9751517041515065
summed,,,2000,2019,2009.5165422885573,2.0633958889980773e-09,2.098933232172682e-09,2.047272476535412e-09,1.0172227459423022,0.9921859820751633,0.975387137215511
summed,,,2020,2039,2029.5163793103447,2.0315469761263387e-09,2.051487887289824e-09,1.972285104466815e-09,1.0098156288768216,0.9708291895998775,0.9613925174436969
summed,,,2040,2059,2049.516219512195,2.0005995652901393e-09,2.025828457309382e-09,1.9577099537524137e-09,1.0126106655509464,0.9785616210850743,0.9663749892982348
summed,,,2060,2079,2069.5160628019325,1.970521547001442e-09,1.962245182702218e-09,1.914464943884667e-09,0.9957999117990775,0.9715524028640656,0.9756502198406457
summed,,,2080,2099,2089.515909090909,1.9412796201293372e-09,1.912772305139342e-09,1.8618303123143667e-09,0.9853151938059824,0.9590737434261648,0.9733674558711972
summed,,,2100,2119,2109.5157582938386,1.912841733741591e-09,1.9396030514985187e-09,1.870518913430723e-09,1.0139903460306576,0.9778743742546422,0.9643823317279162
summed,,,2120,2139,2129.5156103286386,1.885177368731701e-09,1.9008338511004277e-09,1.8366416703420023e-09,1.0083050447286348,0.9742540414526872,0.9662294625481005
summed,,,2140,2159,2149.515465116279,1.8582574417519108e-09,1.825792606976598e-09,1.768946606800461e-09,0.9825294202805904,0.9519383951088876,0.968865028832453
summed,,,2160,2179,2169.5153225806453,1.8320543162523963e-09,1.8285326066186448e-09,1.77119066174559e-09,0.9980777264066301,0.9667784661366877,0.9686404581107839
summed,,,2180,2199,2189.5151826484016,1.8065445319344516e-09,1.7960979123674106e-09,1.7370302803473184e-09,0.9942173473266919,0.9615208757058996,0.9671133563413389
summed,,,2200,2219,2209.515045248869,1.7817069794949846e-09,1.7607686361104328e-09,1.6885223895528658e-09,0.98824815549048,0.9476992619917045,0.9589689155770288
summed,,,2220,2239,2229.5149103139015,1.7575175141201056e-09,1.7341060215418284e-09,1.6739477364024057e-09,0.98667922658512,0.9524501024619725,0.9653087617526783
summed,,,2240,2259,2249.514777777778,1.7339527208190183e-09,1.7344533601470318e-09,1.6689412579770701e-09,1.0002887272080734,0.9625067846075753,0.9622289629255825
summed,,,2260,2279,2269.5146475770925,1.7109902316534613e-09,1.7017724493868176e-09,1.6439736654812276e-09,0.9946126038032749,0.9608317073163706,0.9660361266710975
summed,,,2280,2299,2289.514519650655,1.6886086655786478e-09,1.659946126253341e-09,1.6014182807561544e-09,0.9830259432457166,0.9483655469737773,0.9647411174546432
summed,,,2300,2319,2309.514393939394,1.666787600601592e-09,1.6648261879133655e-09,1.5929366524767575e-09,0.998823237773356,0.9556926460826926,0.9568185940619351
summed,,,2320,2339,2329.514270386266,1.6455080985532589e-09,1.6206493760635253e-09,1.5494761254433203e-09,0.9848929807689251,0.9416399267834837,0.9560834985830919
summed,,,2340,2359,2349.5141489361704,1.6247539561529408e-09,1.6040122016991748e-09,1.5410844227300485e-09,0.9872339104790501,0.9485032591513097,0.9607685160359347
summed,,,2360,2379,2369.514029535865,1.6045078363464844e-09,1.589569128106918e-09,1.5208597652555233e-09,0.9906895386228949,0.947866835426974,0.9567748507211993
