segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
0,1089.530504587156,1.4767691517410962e-07,1.9025762552414372e-07,9.807697871012923e-08,8.76072258681259e-08,1.6022157118317685e-07,1.3833933777893468e-07,-3.516452110575982e-10
0,1109.529954954955,1.4245039022863576e-07,1.8390951247313658e-07,9.479775264734748e-08,8.364069035881165e-08,1.5981236980906868e-07,1.3833706873174182e-07,-3.090741787079252e-10
0,1129.529424778761,1.3809116803422017e-07,1.7791674529635813e-07,9.040420680788868e-08,7.990379798189705e-08,1.590932732655025e-07,1.3831857772634932e-07,-3.393172122549685e-10
0,1149.5289130434783,1.335133977839047e-07,1.7216686517344751e-07,8.662064799844659e-08,7.632587880689957e-08,1.5797469402863698e-07,1.3828533219971437e-07,-2.9635355425436547e-10
0,1169.5284188034188,1.2891578836468865e-07,1.6671571857722593e-07,8.228488865175019e-08,7.29396091264759e-08,1.5723473729307773e-07,1.3823640378063906e-07,-2.9574534775655306e-10
0,1189.5279411764707,1.2449321331745162e-07,1.6152866434326435e-07,7.869879649910622e-08,6.972455651069776e-08,1.5635207544872418e-07,1.381708333726529e-07,-3.061468364492502e-10
0,1209.527479338843,1.2109297192699231e-07,1.565474879995692e-07,7.547465269698737e-08,6.664286649163766e-08,1.5613149812359634e-07,1.3809090360375848e-07,-2.640311688018743e-10
0,1229.5270325203253,1.1724490906210365e-07,1.518348961529319e-07,7.327550290062449e-08,6.373272433567361e-08,1.557665989191549e-07,1.3799426265476458e-07,-2.847313461712393e-10
0,1249.5266,1.1310013209086102e-07,1.473168976750082e-07,6.841890050812403e-08,6.094939136545737e-08,1.5437733284314143e-07,1.378826279873499e-07,-2.748184542518225e-10
0,1269.5261811023622,1.1000757125016075e-07,1.4298407943349894e-07,6.607332509190421e-08,5.828499794300231e-08,1.537158955216523e-07,1.3775692184888783e-07,-2.40839961121805e-10
0,1289.5257751937984,1.068567224806434e-07,1.3888162206871657e-07,6.270014441095804e-08,5.576751366623425e-08,1.5326989950501182e-07,1.3761538144787533e-07,-2.649061736278123e-10
0,1309.5253816793893,1.0311970660998125e-07,1.3493388020582914e-07,6.060976535614172e-08,5.335122639710776e-08,1.52679987799026e-07,1.3746058468526238e-07,-2.4995347734916205e-10
