zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
0,2,390,0.56,0.6000000000000001,0,0.04127302265766819,0.2031214380243173,0.0,-0.20319382857424956
0,2,390,0.6000000000000001,0.64,0,0.18673681571764528,0.43184891768947015,0.0,-0.43241237402364463
0,2,390,0.64,0.6799999999999999,1,0.6904885733261039,0.8293157421836431,1.4482498894702491,0.37321301276511654
0,2,390,0.6799999999999999,0.72,1,2.0801567299792607,1.4351278069338378,0.48073300707969735,-0.7526554253638388
0,2,390,0.72,0.76,10,5.08784576906323,2.232385100397922,1.9654683836536957,2.200406296414172
0,2,390,0.76,0.8,11,10.068885855203728,3.116826488716969,1.092474396689586,0.298737882319385
0,2,390,0.8,0.8400000000000001,15,16.140666926837895,3.915335235224869,0.9293296285705982,-0.29133314475238875
0,2,390,0.8400000000000001,0.8800000000000001,17,21.812577411339454,4.523577202880669,0.7793668615778714,-1.0638875375609256
0,2,390,0.8800000000000001,0.9199999999999999,38,30.215349476151612,5.273492207981588,1.25763893712342,1.476185081314065
0,2,390,0.9199999999999999,0.96,51,53.3734445654479,6.778616237118098,0.9555313586227788,-0.35013703127955187
0,2,390,0.96,1.0,83,88.48163199617562,8.26123543288413,0.9380477973506123,-0.6635365909505253
0,2,390,1.0,1.04,97,92.78740248046424,8.377884908542555,1.04540053290556,0.502823512798602
0,2,390,1.04,1.08,42,52.09632698009286,6.684154265570901,0.8061988711036983,-1.5104868288419917
0,2,390,1.08,1.12,19,14.713478054353123,3.7568185552039344,1.2913330165588326,1.1409978636602502
0,2,390,1.12,1.16,4,2.060889789030564,1.4316099388686838,1.9409092234289673,1.354496192239207
0,2,390,1.16,1.2,1,0.14784452826577332,0.38443174472117037,6.763862090332798,2.216662602492148
0,2,390,1.2,1.24,0,0.006063224698340086,0.07786608265761219,0.0,-0.07786733955785234
0,2,390,1.24,1.28,0,0.00019276539420054473,0.013883993698241566,0.0,-0.013884001850631697
0,2,390,1.28,1.32,0,7.552168653557345e-06,0.0027481208886669163,0.0,-0.0027481209741179982
0,2,390,1.32,1.3599999999999999,0,3.5568242839900677e-07,0.0005963911700710978,0.0,-0.0005963911711781458
0,2,390,1.3599999999999999,1.4,0,1.536187910211595e-08,0.00012394304781053987,0.0,-0.00012394304782304704
1,0,12792,0.2,0.24000000000000002,0,1.1679788071319307e-05,0.003417570485101972,0.0,-0.0034175704999309794
1,0,12792,0.24000000000000002,0.28,0,0.0001021168208301598,0.010105286610667048,0.0,-0.010105286941823721
1,0,12792,0.28,0.32,0,0.0007799038916166173,0.027926756406509656,0.0,-0.027926762430413282
1,0,12792,0.32,0.36,0,0.005203229462259679,0.07213336965552077,0.0,-0.07213345899558217
1,0,12792,0.36,0.4,0,0.03031904114749016,0.17412309681304153,0.0,-0.17412417825329715
1,0,12792,0.4,0.44,0,0.15423078186360453,0.3927169220683479,0.0,-0.3927276193022373
