zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-23.3,-23.2,0.8,0.8400000000000001,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.8400000000000001,0.8800000000000001,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.8800000000000001,0.9199999999999999,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.9199999999999999,0.96,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.96,1.0,1,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.0,1.04,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.04,1.08,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.08,1.12,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.12,1.16,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.16,1.2,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.2,1.24,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.24,1.28,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.28,1.32,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.32,1.3599999999999999,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,1.3599999999999999,1.4,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.2,-23.1,0.2,0.24000000000000002,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.24000000000000002,0.28,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.28,0.32,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.32,0.36,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.36,0.4,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.4,0.44,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.44,0.48000000000000004,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.48000000000000004,0.52,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.52,0.56,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.56,0.6000000000000001,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.6000000000000001,0.64,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.64,0.6799999999999999,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.6799999999999999,0.72,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.72,0.76,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.76,0.8,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.8,0.8400000000000001,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.8400000000000001,0.8800000000000001,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.8800000000000001,0.9199999999999999,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.9199999999999999,0.96,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,0.96,1.0,1,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.0,1.04,3,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.04,1.08,1,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.08,1.12,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.12,1.16,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.16,1.2,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.2,1.24,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.24,1.28,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.28,1.32,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.32,1.3599999999999999,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.2,-23.1,1.3599999999999999,1.4,0,5,1.0202730398866795,1.012226912677244,0.024332897773825978
0,-23.1,-23.0,0.2,0.24000000000000002,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.24000000000000002,0.28,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.28,0.32,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.32,0.36,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.36,0.4,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.4,0.44,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.44,0.48000000000000004,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.48000000000000004,0.52,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.52,0.56,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.56,0.6000000000000001,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.6000000000000001,0.64,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.64,0.6799999999999999,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.6799999999999999,0.72,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.72,0.76,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.76,0.8,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.8,0.8400000000000001,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.8400000000000001,0.8800000000000001,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.8800000000000001,0.9199999999999999,1,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.9199999999999999,0.96,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,0.96,1.0,1,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.0,1.04,2,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.04,1.08,1,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.08,1.12,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.12,1.16,1,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.16,1.2,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
0,-23.1,-23.0,1.2,1.24,0,6,1.0127411537460438,1.0089036151737687,0.02305489569208502
