zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
1,0,0.08,0.11742394140976554,12792,10000,30000,0.2831036522623323,0.11993763334744433,2.5202520252025202e-06,2.0033333333333334e-06,2.073402446748225e-06,0.0
1,0,0.11742394140976554,0.17235477520255066,12792,10000,30000,0.2631139422952247,0.041237429267292784,5.28052805280528e-06,4.2033333333333335e-06,4.242363634343367e-06,0.0
1,0,0.17235477520255066,0.25298221281347033,12792,10000,30000,0.34853464836193515,0.09116627384191497,1.2281228122812281e-05,9.06e-06,8.962520972921319e-06,0.0
1,0,0.25298221281347033,0.37132710668902225,12792,10000,30000,0.09491467615704947,0.046316452871010695,2.1382138213821382e-05,1.9466666666666668e-05,1.939175750302788e-05,0.0
1,0,0.37132710668902225,0.5450336552463688,12792,10000,30000,0.10284158570951929,0.0188903417421333,4.6284628462846284e-05,4.175e-05,4.148138271275709e-05,0.0
1,0,0.5450336552463688,0.7999999999999999,12792,10000,30000,0.0604644116093392,0.02886864532294417,9.564956495649565e-05,9.006666666666667e-05,8.9920775136949e-05,0.0
1,0,0.7999999999999999,1.174239414097655,12792,10000,30000,0.05056047730055004,0.014600070751402917,0.00020326032603260326,0.00019329,0.00019308199162194295,0.0
1,0,1.174239414097655,1.7235477520255065,12792,10000,30000,0.04175060155383797,0.014512747296898925,0.0004255425542554255,0.0004112366666666667,0.00041422491860839804,0.0
1,0,1.7235477520255065,2.529822128134703,12792,10000,30000,0.01571718823123731,0.007528299436488988,0.0009018101810181018,0.0008866933333333333,0.0008854939609098081,0.0
1,0,2.529822128134703,3.7132710668902216,12792,10000,30000,0.0022770718850016873,0.0045489440038852386,0.0019042904290429044,0.00189667,0.001893360889807438,0.0
1,0,3.7132710668902216,5.450336552463689,12792,10000,30000,0.004108307528840887,0.004764122446103412,0.004053645364536454,0.00403258,0.004028063157660811,0.0
1,0,5.450336552463689,8.0,12792,10000,30000,0.0024461108600100285,0.00319812204071552,0.008532873287328734,0.008502873333333332,0.008493649788326278,0.0
1,1,0.08,0.11742394140976554,11991,10000,30000,0.643606068183961,0.16946976573088177,3.2203220322032203e-06,1.956666666666667e-06,1.944509261419825e-06,0.0
1,1,0.11742394140976554,0.17235477520255066,11991,10000,30000,0.2834057930279516,0.09688427036124464,5.700570057005701e-06,4.323333333333333e-06,4.111248152716202e-06,0.0
1,1,0.17235477520255066,0.25298221281347033,11991,10000,30000,0.3532858147914348,0.05155420274878918,1.214121412141214e-05,8.986666666666666e-06,9.018078380390458e-06,0.0
1,1,0.25298221281347033,0.37132710668902225,11991,10000,30000,0.37768315636059274,0.03603913950020308,2.7142714271427143e-05,1.957e-05,1.9278420391790837e-05,0.0
1,1,0.37132710668902225,0.5450336552463688,11991,10000,30000,0.34539722880912394,0.0403071235303782,5.680568056805681e-05,4.2006666666666665e-05,4.156360767581142e-05,0.0
1,1,0.5450336552463688,0.7999999999999999,11991,10000,30000,0.20118070688818326,0.018602684706909442,0.00010715071507150715,8.974e-05,9.054524039690211e-05,0.0
1,1,0.7999999999999999,1.174239414097655,11991,10000,30000,0.10583474137006786,0.02789855779572963,0.00021634163416341635,0.00019445666666666666,0.00019299754436258987,0.0
1,1,1.174239414097655,1.7235477520255065,11991,10000,30000,0.07888879798841206,0.02097387696532392,0.00044744474447444744,0.00041465666666666665,0.00041457381912730424,0.0
1,1,1.7235477520255065,2.529822128134703,11991,10000,30000,0.037120177379211014,0.010327796151218555,0.0009201120112011202,0.0008869833333333333,0.0008867717812815983,0.0
1,1,2.529822128134703,3.7132710668902216,11991,10000,30000,0.025762566117196465,0.005307517056704722,0.0019438143814381437,0.0018948233333333333,0.0018946431547718257,0.0
1,1,3.7132710668902216,5.450336552463689,11991,10000,30000,0.008091911891594951,0.006297691310701632,0.00407004700470047,0.00403275,0.0040280476015867196,0.0
1,1,5.450336552463689,8.0,11991,10000,30000,0.0041598256322740515,0.004511170144236148,0.00856069606960696,0.00851358,0.008501830061002033,0.0
