dimension,group,n_sample,lower,upper,count,expected,sigma,ratio,pull
mass,1,2647,0.5333333333333333,0.6,180,180.81335681375458,12.979262939880103,0.9955016773755693,-0.06266587074489872
mass,1,2647,0.6,0.6666666666666666,172,171.7353753658747,12.672490875752972,1.001540885991378,0.020881816899283295
mass,1,2647,0.6666666666666666,0.7333333333333333,154,163.2930695158878,12.378125125713426,0.9430896268688022,-0.750765517516303
mass,1,2647,0.7333333333333333,0.8,147,155.4865368009825,12.09757771562476,0.9454194750517534,-0.7015071116279428
mass,1,2647,0.8,0.8666666666666667,162,148.28513558187285,11.83115692195503,1.0924898127132556,1.1592158322806565
mass,1,2647,0.8666666666666667,0.9333333333333333,141,141.64527598100125,11.578583176558997,0.9954444228617423,-0.05573013305355169
mass,1,2647,0.9333333333333333,1.0,123,135.51944799249134,11.339273662752884,0.9076188091233592,-1.1040784767030605
mass,2,1361,0.0,0.06666666666666667,37,43.86133456313505,6.515008091672151,0.8435675833516036,-1.0531582565347226
mass,2,1361,0.06666666666666667,0.13333333333333333,94,90.89070471030249,9.209544954180606,1.0342091669286515,0.337616603769991
mass,2,1361,0.13333333333333333,0.2,116,107.5107491583162,9.950630025478862,1.0789618797017482,0.8531370194597566
mass,2,1361,0.2,0.26666666666666666,104,111.96741374039999,10.136806269347003,0.9288416738920782,-0.785988557805716
mass,2,1361,0.26666666666666666,0.3333333333333333,129,111.16549753243443,10.103726857271985,1.1604319943097636,1.7651409939619946
mass,2,1361,0.3333333333333333,0.4,120,108.04207942152483,9.97322519510881,1.1106783638606352,1.199002363281611
mass,2,1361,0.4,0.4666666666666667,116,103.94553267942412,9.798300996441888,1.11596907543639,1.2302609733007066
mass,2,1361,0.4666666666666667,0.5333333333333333,107,99.52457025070777,9.604504111235457,1.0751113994309267,0.7783254255206565
mass,2,1361,0.5333333333333333,0.6,88,95.09779324379161,9.40492089312557,0.9253632182021744,-0.7546893083364127
mass,2,1361,0.6,0.6666666666666666,86,90.82012028922307,9.20646556309256,0.9469267352446457,-0.5235581729155933
mass,2,1361,0.6666666666666666,0.7333333333333333,75,86.76250941026206,9.012805199782267,0.8644286629073592,-1.3050886099864019
mass,2,1361,0.7333333333333333,0.8,68,82.95201510601251,8.82582482838077,0.8197510321249717,-1.6941209911545099
