segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
9,1109.529954954955,3.976642359099092e-07,4.246132005784735e-07,3.9216529824435974e-09,1.575659169128866e-08,2.829231815371594e-06,2.840392942606937e-06,-2.7764624551318282e-09
9,1129.529424778761,3.9779604538712145e-07,4.23038604690338e-07,4.331605669230239e-09,1.4762469929341957e-08,2.7689683330449024e-06,2.7801716756546056e-06,-2.6186583708645627e-09
9,1149.5289130434783,3.9467151573349476e-07,4.216132065651823e-07,2.1395746726207677e-09,1.386736021569629e-08,2.6967449927218827e-06,2.72088800423533e-06,-2.6386637352536734e-09
9,1169.5284188034188,3.954818378966888e-07,4.2024148937778036e-07,-6.273617001816711e-10,1.301367333615499e-08,2.626123313886179e-06,2.662602598686683e-06,-2.4347161273768787e-09
9,1189.5279411764707,3.9621940949721253e-07,4.189916472849514e-07,3.3849662117810287e-09,1.2239187547797662e-08,2.5714103679491285e-06,2.6052896163774153e-06,-2.383476247101763e-09
9,1209.527479338843,3.9618863175080435e-07,4.178291140138814e-07,6.247191671459131e-09,1.1523478985101553e-08,2.520468192446709e-06,2.548976773822651e-06,-2.3420855393472057e-09
9,1229.5270325203253,3.9665242878136583e-07,4.167167941586774e-07,4.828911741085886e-09,1.0844067561205265e-08,2.470377115283816e-06,2.4936867983484216e-06,-2.172726273824407e-09
9,1249.5266,3.9645550996116275e-07,4.15709377313149e-07,3.4393445318685766e-09,1.0230666408059831e-08,2.4138307776390137e-06,2.4393951359268253e-06,-2.175329933695684e-09
9,1269.5261811023622,3.9484705092793286e-07,4.147504330421793e-07,1.774579180888869e-09,9.65137973519707e-09,2.3511166616469583e-06,2.386132803545103e-06,-2.089789422341809e-09
9,1289.5257751937984,3.96176468884574e-07,4.1384135957145243e-07,2.3204860219703084e-09,9.105819981061364e-09,2.3049868211540544e-06,2.333897234142283e-06,-1.9593413103964758e-09
9,1309.5253816793893,3.957591296308319e-07,4.1301562261678867e-07,-1.4305850105084491e-09,8.611534734703238e-09,2.2526230758328246e-06,2.2826694012342593e-06,-1.9735909002120683e-09
9,1329.525,3.9511212873588416e-07,4.122220898943634e-07,-6.555759646347525e-09,8.140605182562275e-09,2.20844623113066e-06,2.2324713450782035e-06,-1.8855055158265817e-09
9,1349.5246296296295,3.949559213527118e-07,4.114700861002372e-07,3.196231437915485e-09,7.697079127554504e-09,2.151205232106238e-06,2.183292324193621e-06,-1.773855753334027e-09
9,1369.5242700729927,3.93925546580431e-07,4.107847852764134e-07,5.1253780343761466e-09,7.2937141330910185e-09,2.108672167963089e-06,2.1351130791074273e-06,-1.7847638549572425e-09
9,1389.5239208633093,3.9372369844259264e-07,4.101263888257773e-07,7.96112253905869e-10,6.909419205069248e-09,2.066363784304615e-06,2.0879452194601004e-06,-1.7194964824899825e-09
9,1409.5235815602837,3.9399055115569343e-07,4.094973457701627e-07,2.064225637927045e-09,6.544852439220365e-09,2.01681124828622e-06,2.041777988241467e-06,-1.6133882876214992e-09
9,1429.5232517482518,3.944746359696155e-07,4.089211473586677e-07,-3.1387563331795997e-10,6.211527748452217e-09,1.971868741259591e-06,1.9965898363084378e-06,-1.6070438592190117e-09
9,1449.5229310344828,3.93007855325311e-07,4.083745910887623e-07,-1.264619706569536e-09,5.8973504097818324e-09,1.9277971188809807e-06,1.952380851313781e-06,-1.5843693491471582e-09
9,1469.522619047619,3.93165557136188e-07,4.078435499574183e-07,-3.4536540355887146e-09,5.595039396558538e-09,1.8821894677413776e-06,1.909144996824429e-06,-1.4777867646024596e-09
9,1489.5223154362416,3.9373317460747614e-07,4.073519118855798e-07,-4.800964126716397e-09,5.315833698511413e-09,1.8434090912323306e-06,1.8668590242828343e-06,-1.4395947066622802e-09
9,1509.5220198675497,3.938313973859229e-07,4.0689619921782294e-07,3.3911257523009706e-10,5.0577227302830365e-09,1.801796335353411e-06,1.8255111368887528e-06,-1.4567768336215662e-09
9,1529.5217320261438,3.940384707824527e-07,4.0644729853078794e-07,2.0212568095708056e-10,4.806526448129422e-09,1.7611639836938268e-06,1.785099615203017e-06,-1.3671865346396976e-09
9,1549.5214516129033,3.940291797985897e-07,4.0602503092766743e-07,-1.2201266734961323e-09,4.571210262676927e-09,1.725112310117572e-06,1.7456021477280864e-06,-1.3054863102603244e-09
9,1569.521178343949,3.9188919622286987e-07,4.056368647582276e-07,2.6870665117463183e-09,4.3551523699992475e-09,1.6888388828379954e-06,1.7070002779474555e-06,-1.3174704395866544e-09
9,1589.5209119496856,3.9375386088515924e-07,4.052616521716286e-07,-2.974393888474086e-09,4.148138454182963e-09,1.6501861839217926e-06,1.6692876693665998e-06,-1.286263247580642e-09
9,1609.520652173913,3.9345282064221517e-07,4.0489725971868706e-07,1.497180959614737e-09,3.9490333984932535e-09,1.6073640185632445e-06,1.6324494383105593e-06,-1.2067415568829471e-09
9,1629.520398773006,3.9383712260519395e-07,4.0455742584896444e-07,2.7764779620061085e-09,3.763843886692705e-09,1.575522395702818e-06,1.5964647053911097e-06,-1.1724268110532604e-09
9,1649.5201515151516,3.922261945169585e-07,4.0424293730484195e-07,-2.7629902704499994e-09,3.592708046817246e-09,1.5399402266867894e-06,1.5613171173215912e-06,-1.1919784388984055e-09
9,1669.5199101796406,3.926918428261262e-07,4.039322996424193e-07,-5.0645787441550855e-09,3.4258330476877623e-09,1.5058326273442983e-06,1.5269983772222488e-06,-1.1363287703692272e-09
9,1689.519674556213,3.942772319427588e-07,4.036356898680185e-07,-2.2474836661691593e-09,3.267493927182804e-09,1.4696079438764502e-06,1.4934889467274e-06,-1.0803044951441368e-09
9,1709.5194444444444,3.943394188566026e-07,4.033587513651691e-07,2.7148065149454466e-09,3.1200818512129487e-09,1.4390845058115492e-06,1.4607703178150486e-06,-1.0615270169290795e-09
9,1729.519219653179,3.9294085495124897e-07,4.0309953004533796e-07,8.485093365106265e-10,2.982479839473289e-09,1.4135259081713586e-06,1.4288270830414177e-06,-1.0738093352658359e-09
9,1749.519,3.9342759885998267e-07,4.0284233684467436e-07,2.8879202893453907e-09,2.8478543167871615e-09,1.3746616507862344e-06,1.3976479614943553e-06,-1.0182476918235986e-09
9,1769.5187853107345,3.938006617074265e-07,4.0259777909776365e-07,-8.655188232412655e-10,2.7205105739062256e-09,1.3451263568510101e-06,1.367213672570279e-06,-9.73549391384079e-10
9,1789.5185754189945,3.937341131857738e-07,4.0236882917055046e-07,9.349685859531147e-10,2.601669906072473e-09,1.314992249421983e-06,1.337506806899039e-06,-9.591034263929421e-10
9,1809.5183701657459,3.9478930827706917e-07,4.021539140051133e-07,8.097137819537947e-09,2.4904331331796907e-09,1.2908132239073444e-06,1.3085120207193576e-06,-9.704332652553158e-10
9,1829.518169398907,3.923480403585215e-07,4.019403988812833e-07,1.5598120078174878e-09,2.3815085742045264e-09,1.264115471640488e-06,1.2802169769036209e-06,-9.24822547825652e-10
9,1849.517972972973,3.9361203110465796e-07,4.017365092014949e-07,-2.2702877463210713e-09,2.278106030595904e-09,1.2325379207191686e-06,1.2526037619090922e-06,-8.85055773226677e-10
9,1869.5177807486632,3.9292253053893013e-07,4.015457177314269e-07,-1.013732821530077e-09,2.181525080221415e-09,1.206972218552637e-06,1.2256557441489983e-06,-8.79362886400889e-10
9,1889.5175925925926,3.933775888474269e-07,4.0138442293821166e-07,1.0224016248812152e-09,2.097483607184923e-09,1.179817180927002e-06,1.1993546353332297e-06,-1.0645699724378597e-09
9,1909.5174083769634,3.9301506100576886e-07,4.012293371672811e-07,1.992585902743933e-09,2.0169782584128674e-09,1.157836374847094e-06,1.173690406183114e-06,-1.250833433639007e-09
9,1929.5172279792746,3.929820079863379e-07,4.010790965102082e-07,2.1435998494248012e-09,1.9395679950921707e-09,1.1307234273165663e-06,1.14864798088842e-06,-1.4201062212002727e-09
9,1949.5170512820512,3.923436790393287e-07,4.0093831753682854e-07,-1.7051627750991312e-09,1.866955936784876e-09,1.1059154854578628e-06,1.1242114383007623e-06,-1.6083017273723071e-09
9,1969.5168781725888,3.9348208771644074e-07,4.0080734946445635e-07,1.2191130739392938e-09,1.7993428956425333e-09,1.0834719253203832e-06,1.1003657226900365e-06,-1.8146188279048568e-09
9,1989.5167085427136,3.928060809279459e-07,4.006783404045348e-07,1.5410404206703233e-09,1.7335570879060816e-09,1.0587815870646053e-06,1.0770985094771875e-06,-1.9881089506627563e-09
