n_realizations,seeds,segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,measured_uu,measured_uu_particle_shot,measured_uu_clustering,measured_2uh,measured_hh,measured_hh_parallel,measured_hh_residual,measured_coherent_total,measured_orthogonal_total,measured_total,cross_correlation,cross_correlation_jackknife_sem,linear_theory,corrected_two_halo_theory,one_halo_theory,particle_shot_theory,coherent_over_linear,coherent_over_linear_jackknife_sem,corrected_two_halo_over_linear,measured_total_over_baseline_total,measured_total_over_corrected_total,decomposition_valid,linear_power_evolution,two_halo_model
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,440,459,449.5738888888889,7.800186148116034e-07,3.319547071127023e-08,7.468231441003332e-07,5.722136006423721e-07,2.590657127783361e-07,1.0960707610184856e-07,1.4945863667648754e-07,1.4286438208445538e-06,1.8265410738775777e-07,1.6112979282323117e-06,0.6504506128745737,0.0017908463563317972,1.3870021232422717e-06,1.5569704054443177e-06,2.5476459505615675e-08,3.357280978428278e-08,1.0300228073948006,0.006559684878384577,1.12254363519266,1.1142743173261496,0.9970781627379128,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,460,479,469.5707446808511,7.189108359402209e-07,3.319547071127023e-08,6.857153652289507e-07,5.300199736601179e-07,2.5154337816060297e-07,1.0241901622872211e-07,1.4912436193188086e-07,1.3181543551177908e-06,1.823198326431511e-07,1.5004741877609417e-06,0.6380928164687624,0.002229550303616545,1.2756742915502162e-06,1.4441368463749223e-06,2.8938161101883293e-08,3.357280978428278e-08,1.0333000859615602,0.0071841774612392845,1.1320576544816845,1.1212753793365549,0.99590240703274,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,480,499,489.5678571428571,6.690444277119487e-07,3.319547071127023e-08,6.358489570006785e-07,4.901037505233999e-07,2.4312570705081126e-07,9.444133061495558e-08,1.4868437643585568e-07,1.2203940381390339e-06,1.818798471471259e-07,1.4022738852861598e-06,0.6232547654673829,0.0013501324215074583,1.180477678458533e-06,1.3477964186426021e-06,3.258995452327598e-08,3.357280978428276e-08,1.0338137352437056,0.0034612552416824287,1.1417381651828893,1.1248422858597007,0.9917357602645784,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,500,512,506.02764067127345,6.303038090228097e-07,3.319547071127023e-08,5.971083383115395e-07,4.6243694489457795e-07,2.3687967743088733e-07,8.953481063760342e-08,1.473448667932839e-07,1.1490800938437209e-06,1.8054033750455413e-07,1.329620431348275e-06,0.614797451018717,0.0011101288958538214,1.1084747826990525e-06,1.2745829107850821e-06,3.572152661805829e-08,3.3572809784282775e-08,1.0366316958927992,0.0048522087258797125,1.149852870519588,1.128931307320012,0.9893912811836156,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,20,39,30.608333333333334,1.6168611948147393e-05,3.987073862891348e-08,1.612874120951848e-05,1.1743894730258595e-05,2.345010513189053e-06,2.137784059583053e-06,2.0722645360600002e-07,3.001041999936013e-05,2.470971922349135e-07,3.0257517191595047e-05,0.9547936459617149,0.0004955113736173053,3.0410954370741488e-05,3.0465527903828487e-05,2.5297320991588756e-12,3.930085518748611e-08,0.9868292732119346,0.012387261965344508,1.0017945353645168,0.9936703142018496,0.9918926253086916,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,40,59,50.165,1.3156701418905208e-05,3.987073862891348e-08,1.3116830680276294e-05,9.585745836943174e-06,1.9593403612931515e-06,1.751309548209741e-06,2.0803081308341054e-07,2.445388606542921e-05,2.47901551712324e-07,2.4701787617141537e-05,0.9454237659347288,0.0008806268901580568,2.4545878857097025e-05,2.4625781101208635e-05,1.593182155006881e-11,3.930085518748611e-08,0.9962522103118253,0.013508212372131068,1.0032552203397072,1.0047423650689322,1.0014875160475805,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,60,79,69.975,1.0726334964060922e-05,3.987073862891348e-08,1.0686464225432008e-05,7.735352300885721e-06,1.6144552003971944e-06,1.3998005784836451e-06,2.1465462191354924e-07,1.9821617104801374e-05,2.545253605424627e-07,2.007614246534384e-05,0.9311509382252756,0.0013675385102103115,2.0250078552899985e-05,2.0359235003950046e-05,5.71132422191793e-11,3.93008551874861e-08,0.9788414920475826,0.013152693472320206,1.0053904211168814,0.9894874332383936,0.9841925123231529,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,80,99,89.86944444444444,8.86569687847345e-06,3.987073862891348e-08,8.825826139844535e-06,6.4697047522607205e-06,1.4004796097904027e-06,1.1856419704570074e-06,2.1483763933339523e-07,1.6481172862562264e-05,2.547083779623087e-07,1.673588124052457e-05,0.9201071110789638,0.0007108122049180319,1.658492829931257e-05,1.6720548458518323e-05,1.5032069466804735e-10,3.930085518748611e-08,0.9937439924443564,0.008055947929353042,1.0081773135679684,1.0067071234445903,0.9985609549879463,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,100,119,109.80227272727272,6.93247833071829e-06,3.987073862891348e-08,6.892607592089377e-06,5.029802772291273e-06,1.1369488993900783e-06,9.176104830479707e-07,2.1933841634210758e-07,1.2840020847428619e-05,2.5920915497102105e-07,1.3099230002399643e-05,0.8983771772975733,0.0009753789210589001,1.3034938592087277e-05,1.318724682238515e-05,3.261966870293568e-10,3.93008551874861e-08,0.9850465160781823,0.00704715118439708,1.011684614332616,1.0018864380744643,0.990349656837023,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,1,0.40720486,0.44933801,120,139,129.75576923076923,5.610759734571754e-06,3.987073862891348e-08,5.570888995942841e-06,4.079146993767249e-06,9.65139117010638e-07,7.467138642000647e-07,2.1842525281057338e-07,1.0396749853910156e-05,2.5829599143948685e-07,1.0655045845349642e-05,0.8795937777820401,0.001222092940099434,1.0655310223859205e-05,1.0824160113671182e-05,6.204477965744895e-10,3.93008551874861e-08,0.975734130258349,0.00552085896173491,1.0158465484593673,0.9962426543649135,0.9807590201795491,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
